time,VS,HS,TS,IH,IT,IC,OT,OH,OC
2023/9/27 16:00,0,0,0,99.9,24.65,2552,28.1,83.43,607
2023/9/27 16:10,0,0,0,99.9,24.74,2846,28.17,83.49,618
2023/9/27 16:20,0,0,0,99.9,24.84,3157,28.16,83.17,612
2023/9/27 16:30,0,0,0,99.9,24.92,3498,28.11,83.28,598
2023/9/27 16:40,1,0,0,99.9,24.99,3812,28.18,82.93,591
2023/9/27 16:50,1,0,0,98.51,24.04,4095,28.19,82.31,586
2023/9/27 17:00,1,0,0,95.59,23.17,4369,28.1,82.35,594
2023/9/27 17:10,1,0,0,97.78,22.61,4646,28.29,81.8,600
2023/9/27 17:20,1,0,0,97.11,22.85,4930,28.38,81.96,587
2023/9/27 17:30,1,0,0,99.16,23.27,4358,28.43,82.28,593
2023/9/27 17:40,0,0,0,99.9,23.71,2708,28.39,82.63,632
2023/9/27 17:50,0,0,0,99.9,23.92,2186,28.31,83.27,634
2023/9/27 18:00,0,0,0,99.9,24.09,2354,28.24,83.38,640
2023/9/27 18:10,0,0,0,99.9,24.26,2637,28.19,83.76,615
2023/9/27 18:20,0,0,0,99.9,24.41,2893,28.13,84.19,582
2023/9/27 18:30,0,0,0,99.9,24.55,3176,28.16,84.19,593
2023/9/27 18:40,0,0,0,99.9,24.68,3487,28.38,83.34,570
2023/9/27 18:50,0,0,0,99.9,24.8,3792,28.48,83.24,562
2023/9/27 19:00,0,0,0,99.9,24.92,4102,28.35,83.77,549
2023/9/27 19:10,1,0,0,99.9,24.99,4437,28.24,84.06,551
2023/9/27 19:20,1,0,0,97.03,24.11,4739,28.41,83.45,555
2023/9/27 19:30,1,0,0,96.35,23.07,4963,28.66,83.11,557
2023/9/27 19:40,1,0,0,98.83,22.99,3971,28.81,82.21,569
2023/9/27 19:50,1,0,0,98.99,23.41,2518,28.79,81.92,623
2023/9/27 20:00,1,0,0,99.06,23.62,2281,28.51,82.7,637
2023/9/27 20:10,1,0,0,99.57,23.82,2496,28.24,83.19,574
2023/9/27 20:20,1,0,0,99.89,24.03,2763,28.13,83.06,601
2023/9/27 20:30,0,0,0,99.9,24.23,3041,28.21,82.53,601
2023/9/27 20:40,0,0,0,99.9,24.38,3353,28.26,82.55,594
2023/9/27 20:50,0,0,0,99.9,24.54,3634,28.04,83.64,574
2023/9/27 21:00,0,0,0,99.9,24.67,3901,27.98,83.94,573
2023/9/27 21:10,0,0,0,99.9,24.81,4153,27.88,84.25,593
2023/9/27 21:20,0,0,0,99.9,24.92,4450,27.78,84.64,624
2023/9/27 21:30,0,0,0,99.9,24.97,4730,27.79,84.19,605
2023/9/27 21:40,1,0,0,96.59,24.01,4950,27.91,83.43,587
2023/9/27 21:50,1,0,0,97.4,23.11,3831,28.11,82.3,630
2023/9/27 22:00,1,0,0,95.75,22.79,2410,28.1,81.87,672
2023/9/27 22:10,1,0,0,97.8,22.66,2251,28,82.01,695
2023/9/27 22:20,1,0,0,97.48,22.96,2457,27.85,82.59,680
2023/9/27 22:30,1,0,0,98.38,23.2,2692,27.83,82.8,663
2023/9/27 22:40,1,0,0,99.14,23.46,2931,27.8,83.76,653
2023/9/27 22:50,1,0,0,99.7,23.67,3210,27.88,84.21,639
2023/9/27 23:00,0,0,0,99.9,23.87,3489,27.94,84.34,689
2023/9/27 23:10,0,0,0,99.9,24.05,3746,28.13,84.19,613
2023/9/27 23:20,0,0,0,99.9,24.22,4004,28.17,84.52,566
2023/9/27 23:30,0,0,0,99.9,24.35,4263,28.44,84.35,556
2023/9/27 23:40,0,0,0,99.9,24.5,4506,28.77,83.26,556
2023/9/27 23:50,0,0,0,99.9,24.62,4752,29.15,82.25,557
2023/9/28 0:00,0,0,0,99.9,24.72,4970,29.41,81.69,559
2023/9/28 0:10,0,0,0,99.9,25.01,3861,29.79,80.32,559
2023/9/28 0:20,1,0,0,98.72,24.31,2447,30.23,79.46,555
2023/9/28 0:30,1,0,0,95.37,23.32,2217,30.6,78.22,552
2023/9/28 0:40,1,0,0,97.72,22.64,2397,31.23,75.14,540
2023/9/28 0:50,1,0,0,97.53,22.85,2625,31.36,73.92,519
2023/9/28 1:00,1,0,0,97.94,23.11,2839,31.53,73.66,506
2023/9/28 1:10,1,0,0,98.81,23.38,3047,32.06,71.83,504
2023/9/28 1:20,1,0,0,99.47,23.64,3288,32.42,70.46,501
2023/9/28 1:30,1,0,0,99.82,23.94,3534,32.64,68.95,489
2023/9/28 1:40,0,0,0,99.9,24.21,3797,32.73,68.8,483
2023/9/28 1:50,0,0,0,99.9,24.43,4007,32.41,70.46,485
2023/9/28 2:00,0,0,0,99.9,24.66,4272,32.28,72.53,487
2023/9/28 2:10,0,0,0,99.9,24.88,4527,32.36,71.85,484
2023/9/28 2:20,1,0,0,99.76,24.94,4740,32.55,70.79,479
2023/9/28 2:30,1,0,0,95.36,23.96,4897,32.72,69.93,475
2023/9/28 2:40,1,0,0,96.14,23.03,4959,33.06,69.21,487
2023/9/28 2:50,1,0,0,99.06,23.45,4305,33.92,65.73,479
2023/9/28 3:00,1,0,0,98.96,24.13,2642,34.14,64.7,468
2023/9/28 3:10,1,0,0,98.29,24.44,2203,33.63,68.56,466
2023/9/28 3:20,1,0,0,99.01,24.56,2371,33.26,70.31,465
2023/9/28 3:30,1,0,0,98.76,24.93,2230,33.13,71.37,473
2023/9/28 3:40,1,0,0,94.43,24.39,2056,33.4,69.43,475
2023/9/28 3:50,1,0,0,95.27,24.31,2232,33.51,69.02,475
2023/9/28 4:00,1,0,0,96.24,24.38,2446,33.46,68.66,468
2023/9/28 4:10,1,0,0,97.16,24.52,2638,33.68,68.23,464
2023/9/28 4:20,1,0,0,97.77,24.64,2811,33.4,69.76,462
2023/9/28 4:30,1,0,0,98.49,24.76,3035,32.8,72.51,466
2023/9/28 4:40,1,0,0,99.11,24.88,3326,32.71,72.93,476
2023/9/28 4:50,1,0,0,99.56,25.01,3584,32.87,72.68,476
2023/9/28 5:00,1,0,0,99.85,25.13,3814,33.22,70.07,473
2023/9/28 5:10,0,0,0,99.9,25.24,4049,34.03,66.82,470
2023/9/28 5:20,0,0,0,99.9,25.35,4317,34.59,62.34,458
2023/9/28 5:30,0,0,0,99.9,25.49,4509,34.68,60.28,449
2023/9/28 5:40,0,0,0,99.9,25.63,4548,34.75,58.51,442
2023/9/28 5:50,0,0,0,99.9,25.76,4717,34.98,57.83,444
2023/9/28 6:00,0,0,0,99.9,25.87,4901,35.23,56.04,432
2023/9/28 6:10,0,0,0,99.9,25.95,4996,35.67,55.77,428
2023/9/28 6:20,0,0,0,99.9,26.06,5000,35.61,55.77,429
2023/9/28 6:30,0,0,0,99.9,26.18,5000,35.33,57.49,430
2023/9/28 6:40,0,0,0,99.9,26.28,5000,35.23,58.79,429
2023/9/28 6:50,0,0,0,99.9,26.37,5000,35.39,56.97,657
2023/9/28 7:00,0,0,0,99.9,26.47,5000,35.83,55.52,461
2023/9/28 7:10,0,0,0,99.9,26.57,5000,36.1,54.99,443
2023/9/28 7:20,0,0,0,99.9,26.67,5000,36.14,54.2,426
2023/9/28 7:30,0,0,0,99.9,26.76,5000,36.45,51.84,418
2023/9/28 7:40,0,0,0,99.9,26.84,5000,36.73,54.12,416
2023/9/28 7:50,0,0,0,99.9,26.94,5000,36.34,55.61,427
2023/9/28 8:00,0,0,0,99.9,27.03,5000,35.24,62.38,428
2023/9/28 8:10,0,0,0,99.9,27.11,5000,34.21,66.5,432
2023/9/28 8:20,0,0,0,99.9,27.21,5000,33.53,67.97,440
2023/9/28 8:30,0,0,0,99.9,27.3,5000,32.96,69.15,441
2023/9/28 8:40,0,0,0,99.9,27.39,5000,32.96,70.24,442
2023/9/28 8:50,0,0,0,99.9,27.47,5000,33.71,69.37,449
2023/9/28 9:00,0,0,0,99.9,27.56,5000,34.07,67.14,439
2023/9/28 9:10,0,0,0,99.9,27.6,5000,33.87,67.31,432
2023/9/28 9:20,0,0,0,99.9,27.66,5000,33.14,70.71,432
2023/9/28 9:30,0,0,0,99.9,27.74,5000,32.44,72.74,484
2023/9/28 9:40,0,0,0,99.9,27.8,5000,32,74.1,602
2023/9/28 9:50,0,0,0,99.9,27.89,5000,31.76,75.95,475
2023/9/28 10:00,0,0,0,99.9,27.94,5000,31.27,77.03,481
2023/9/28 10:10,0,0,0,99.9,28,5000,30.82,78.12,476
2023/9/28 10:20,0,0,0,99.9,28.09,5000,30.21,79.8,478
2023/9/28 10:30,0,0,0,99.9,28.2,5000,29.87,80.65,495
2023/9/28 10:40,0,0,0,99.9,28.2,5000,29.61,81.49,495
2023/9/28 10:50,0,0,0,99.9,28.2,5000,29.5,81.97,501
2023/9/28 11:00,0,0,0,99.9,28.19,5000,29.39,82.28,521
2023/9/28 11:10,1,0,0,99.9,28.17,5000,29.22,82.49,547
2023/9/28 11:20,1,0,0,99.9,28.2,4704,29.05,82.83,620
2023/9/28 11:30,1,0,0,99.9,28.2,3446,29,83.27,718
2023/9/28 11:40,1,0,0,99.9,28.2,2606,29.15,82.74,699
2023/9/28 11:50,1,0,0,99.9,28.15,2031,29.27,82.47,648
2023/9/28 12:00,1,0,0,99.85,28.1,1644,29.15,82.38,642
2023/9/28 12:10,1,0,0,99.41,28.11,1422,28.95,83.02,652
2023/9/28 12:20,1,0,0,98.94,28.14,1262,28.8,83.55,617
2023/9/28 12:30,1,0,0,98.71,28.18,1159,28.79,83.67,587
2023/9/28 12:40,1,0,0,98.35,28.18,1072,28.7,83.68,585
2023/9/28 12:50,1,0,0,98.08,28.17,1018,28.68,83.87,592
2023/9/28 13:00,1,0,0,97.68,28.16,999,28.59,83.94,591
2023/9/28 13:10,1,0,0,97.09,28.12,961,28.5,83.96,605
2023/9/28 13:20,1,0,0,96.75,28.1,921,28.33,84.08,609
2023/9/28 13:30,1,0,0,96.75,28.12,906,28.35,84.1,608
2023/9/28 13:40,1,0,0,96.63,28.1,928,28.32,84.18,628
2023/9/28 13:50,1,0,0,96.49,28.1,927,28.31,84.42,609
2023/9/28 14:00,1,0,0,96.26,28.1,906,28.32,84.32,599
